pk_customer_id,status,customer_description
1,Active,Customer 1
2,Active,Customer 2
3,Active,Customer 3
4,Active,Customer 4
5,Active,Customer 5
6,Active,Customer 6
7,Active,Customer 7
8,Active,Customer 8
9,Active,Customer 9
10,Active,Customer 10
11,,Customer 11
12,,Customer 12
13,,Customer 13
14,,Customer 14
15,,Customer 15
16,,Customer 16
17,,Customer 17
18,,Customer 18
19,,Customer 19
20,,Customer 20
21,,Customer 21
22,,Customer 22
23,,Customer 23
24,,Customer 24
25,,Customer 25
26,,Customer 26
27,,Customer 27
28,,Customer 28
29,,Customer 29
30,,Customer 30
31,,Customer 31
32,,Customer 32
33,,Customer 33
34,,Customer 34
35,,Customer 35
36,,Customer 36
37,,Customer 37
38,,Customer 38
39,,Customer 39
40,,Customer 40
41,,Customer 41
42,,Customer 42
43,,Customer 43
44,,Customer 44
45,,Customer 45
46,,Customer 46
47,,Customer 47
48,,Customer 48
49,,Customer 49
50,,Customer 50
51,,Customer 51
52,,Customer 52
53,,Customer 53
54,,Customer 54
55,,Customer 55
56,,Customer 56
57,,Customer 57
58,,Customer 58
59,,Customer 59
60,,Customer 60
61,,Customer 61
62,,Customer 62
