pk_woo_id,status,fk_operation_id,operation_key,operation_description,duration,duration_unit,predecessor_operation_key,fk_required_skill_id,required_skill_desc,order_basic_start_date,order_basic_end_date,operation_scheduled_start,operation_scheduled_end,confirmed_work,confirmed_work_unit,fk_assigned_technician_id,operation_type,operation_subtype,operation_order,fk_asset_id,priority_score
132,To do,15,Preventive-monthly-1,Safety Systems Check,"30,0",Minutes,,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,,Preventive,monthly,1,1.0,2
133,To do,16,Preventive-monthly-2,Structural and Mechanical Inspection,"30,0",Minutes,15.0,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,,Preventive,monthly,2,1.0,2
134,To do,17,Preventive-monthly-3,Electrical and Control Systems Examination,"30,0",Minutes,16.0,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,,Preventive,monthly,3,1.0,2
135,To do,18,Preventive-monthly-4,Performance and Load Testing,"50,0",Minutes,17.0,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,,Preventive,monthly,4,1.0,2
136,To do,19,Preventive-monthly-5,Documentation and Compliance Verification,"10,0",Minutes,18.0,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,,Preventive,monthly,5,1.0,2
137,To do,1,Corrective-Breakdown-1,Secure the Area,"15,0",Minutes,,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,1,2.0,5
138,To do,2,Corrective-Breakdown-2,Preliminary Inspection,"20,0",Minutes,1.0,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,2,2.0,5
139,To do,3,Corrective-Breakdown-3,Diagnostics and Troubleshooting,"1,0",Hours,2.0,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,3,2.0,5
140,To do,4,Corrective-Breakdown-4,Component Repair or Replacement,"1,0",Hours,3.0,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,4,2.0,5
141,To do,7,Corrective-Breakdown-7,Post-Repair Adjustments,"20,0",Minutes,6.0,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,7,2.0,5
142,To do,5,Corrective-Breakdown-5,Control System Reset,"30,0",Minutes,4.0,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,5,2.0,5
143,To do,6,Corrective-Breakdown-6,Detailed Testing and Validation,"45,0",Minutes,5.0,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,6,2.0,5
144,To do,20,Corrective-Breakdown-8,System Cleanup and Safety Checks,"15,0",Minutes,7.0,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,8,2.0,5
145,To do,22,Corrective-Breakdown-10,Restore Service,"15,0",Minutes,21.0,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,10,2.0,5
146,To do,21,Corrective-Breakdown-9,Documentation and Reporting,"20,0",Minutes,20.0,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Breakdown,9,2.0,5
147,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Low,1,3.0,1
148,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8.0,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Low,2,3.0,1
149,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9.0,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Low,3,3.0,1
150,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10.0,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Low,4,3.0,1
151,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11.0,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Low,5,3.0,1
152,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12.0,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Low,6,3.0,1
153,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13.0,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,,Corrective,Low,7,3.0,1
333,To do,15,Preventive-monthly-1,Safety Systems Check,"30,0",Minutes,,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,,Preventive,monthly,1,4.0,2
334,To do,16,Preventive-monthly-2,Structural and Mechanical Inspection,"30,0",Minutes,15.0,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,,Preventive,monthly,2,4.0,2
