pk_woo_id,status,operation_key,operation_description,operation_type,operation_subtype,operation_order,priority_score,duration,duration_unit,confirmed_work,confirmed_work_unit,required_skill_desc,predecessor_operation_key,order_basic_start_date,order_basic_end_date,asset_status,asset_description,asset_criticality,asset_address_street,asset_address_door,asset_address_post_code,asset_address_city,asset_address_region,customer_description,is_corrective,duration_minutes,fk_assigned_technician_id,operation_scheduled_start,operation_scheduled_end
132,To do,Preventive-monthly-1,Safety Systems Check,Preventive,monthly,1,3,"30,0",Minutes,"0,0",Minutes,"Inspector Junior, Inspector Senior",,4/11/2024,8/11/2024,In service,Asset Description 1,Good,Rue de la Loi,16.0,1000.0,Brussels,Brussels,Customer 1,0,30,9,2024-11-06 10:20,2024-11-06 10:50
133,To do,Preventive-monthly-2,Structural and Mechanical Inspection,Preventive,monthly,2,3,"30,0",Minutes,"0,0",Minutes,"Inspector Junior, Inspector Senior",15.0,4/11/2024,8/11/2024,In service,Asset Description 1,Good,Rue de la Loi,16.0,1000.0,Brussels,Brussels,Customer 1,0,30,9,2024-11-06 12:50,2024-11-06 13:20
134,To do,Preventive-monthly-3,Electrical and Control Systems Examination,Preventive,monthly,3,3,"30,0",Minutes,"0,0",Minutes,"Inspector Junior, Inspector Senior",16.0,4/11/2024,8/11/2024,In service,Asset Description 1,Good,Rue de la Loi,16.0,1000.0,Brussels,Brussels,Customer 1,0,30,9,2024-11-06 13:20,2024-11-06 13:50
135,To do,Preventive-monthly-4,Performance and Load Testing,Preventive,monthly,4,3,"50,0",Minutes,"0,0",Minutes,"Inspector Junior, Inspector Senior",17.0,4/11/2024,8/11/2024,In service,Asset Description 1,Good,Rue de la Loi,16.0,1000.0,Brussels,Brussels,Customer 1,0,50,9,2024-11-06 13:50,2024-11-06 14:40
136,To do,Preventive-monthly-5,Documentation and Compliance Verification,Preventive,monthly,5,3,"10,0",Minutes,"0,0",Minutes,"Inspector Junior, Inspector Senior",18.0,4/11/2024,8/11/2024,In service,Asset Description 1,Good,Rue de la Loi,16.0,1000.0,Brussels,Brussels,Customer 1,0,10,12,2024-11-06 16:50,2024-11-06 17:00
137,To do,Corrective-Breakdown-1,Secure the Area,Corrective,Breakdown,1,1,"15,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,15,16,2024-11-04 13:50,2024-11-04 14:05
138,To do,Corrective-Breakdown-2,Preliminary Inspection,Corrective,Breakdown,2,1,"20,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",1.0,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,20,16,2024-11-04 14:05,2024-11-04 14:25
139,To do,Corrective-Breakdown-3,Diagnostics and Troubleshooting,Corrective,Breakdown,3,1,"1,0",Hours,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",2.0,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,60,16,2024-11-04 14:25,2024-11-04 15:25
140,To do,Corrective-Breakdown-4,Component Repair or Replacement,Corrective,Breakdown,4,1,"1,0",Hours,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",3.0,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,60,16,2024-11-04 15:25,2024-11-04 16:25
141,To do,Corrective-Breakdown-7,Post-Repair Adjustments,Corrective,Breakdown,7,1,"20,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",6.0,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,20,16,2024-11-04 16:25,2024-11-04 16:45
142,To do,Corrective-Breakdown-5,Control System Reset,Corrective,Breakdown,5,1,"30,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",4.0,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,30,17,2024-11-04 07:00,2024-11-04 07:30
143,To do,Corrective-Breakdown-6,Detailed Testing and Validation,Corrective,Breakdown,6,1,"45,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",5.0,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,45,17,2024-11-04 07:30,2024-11-04 08:15
144,To do,Corrective-Breakdown-8,System Cleanup and Safety Checks,Corrective,Breakdown,8,1,"15,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",7.0,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,15,16,2024-11-04 16:45,2024-11-04 17:00
145,To do,Corrective-Breakdown-10,Restore Service,Corrective,Breakdown,10,1,"15,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",21.0,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,15,17,2024-11-04 08:15,2024-11-04 08:30
146,To do,Corrective-Breakdown-9,Documentation and Reporting,Corrective,Breakdown,9,1,"20,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Senior",20.0,,,In service,Asset Description 2,Adequate,Avenue Louise,50.0,1050.0,Brussels,Brussels,Customer 1,1,20,17,2024-11-04 08:30,2024-11-04 08:50
147,To do,Corrective-Low-1,Diagnostics and Troubleshooting,Corrective,Low,1,4,"30,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,In service,Asset Description 3,Bad,Chaussée de Waterloo,200.0,1060.0,Brussels,Brussels,Customer 1,1,30,2,2024-11-07 16:30,2024-11-07 17:00
148,To do,Corrective-Low-2,Component Repair and Replacement,Corrective,Low,2,4,"1,0",Hours,"0,0",Minutes,"Electrician, Mecanician, Inspector Junior, Inspector Senior",8.0,,,In service,Asset Description 3,Bad,Chaussée de Waterloo,200.0,1060.0,Brussels,Brussels,Customer 1,1,60,12,2024-11-07 15:30,2024-11-07 16:30
149,To do,Corrective-Low-3,Control System Checks,Corrective,Low,3,4,"5,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Junior, Inspector Senior",9.0,,,In service,Asset Description 3,Bad,Chaussée de Waterloo,200.0,1060.0,Brussels,Brussels,Customer 1,1,5,2,2024-11-07 10:45,2024-11-07 10:50
150,To do,Corrective-Low-4,Testing and Validation,Corrective,Low,4,4,"5,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Junior, Inspector Senior",10.0,,,In service,Asset Description 3,Bad,Chaussée de Waterloo,200.0,1060.0,Brussels,Brussels,Customer 1,1,5,2,2024-11-07 10:50,2024-11-07 10:55
151,To do,Corrective-Low-5,Documentation and Reporting,Corrective,Low,5,4,"5,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Junior, Inspector Senior",11.0,,,In service,Asset Description 3,Bad,Chaussée de Waterloo,200.0,1060.0,Brussels,Brussels,Customer 1,1,5,2,2024-11-07 10:55,2024-11-07 11:00
152,To do,Corrective-Low-6,Post-Maintenance Adjustments,Corrective,Low,6,4,"5,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Junior, Inspector Senior",12.0,,,In service,Asset Description 3,Bad,Chaussée de Waterloo,200.0,1060.0,Brussels,Brussels,Customer 1,1,5,12,2024-11-07 16:30,2024-11-07 16:35
153,To do,Corrective-Low-7,System Cleanup and Safety Checks,Corrective,Low,7,4,"10,0",Minutes,"0,0",Minutes,"Electrician, Mecanician, Inspector Junior, Inspector Senior",13.0,,,In service,Asset Description 3,Bad,Chaussée de Waterloo,200.0,1060.0,Brussels,Brussels,Customer 1,1,10,12,2024-11-07 16:35,2024-11-07 16:45
333,To do,Preventive-monthly-1,Safety Systems Check,Preventive,monthly,1,3,"30,0",Minutes,"0,0",Minutes,"Inspector Junior, Inspector Senior",,4/11/2024,8/11/2024,In service,Asset Description 4,Adequate,Rue Victor Hugo,100.0,1030.0,Brussels,Brussels,Customer 1,0,30,9,2024-11-04 12:50,2024-11-04 13:20
334,To do,Preventive-monthly-2,Structural and Mechanical Inspection,Preventive,monthly,2,3,"30,0",Minutes,"0,0",Minutes,"Inspector Junior, Inspector Senior",15.0,4/11/2024,8/11/2024,In service,Asset Description 4,Adequate,Rue Victor Hugo,100.0,1030.0,Brussels,Brussels,Customer 1,0,30,9,2024-11-04 13:20,2024-11-04 13:50
335,To do,Preventive-monthly-3,Electrical and Control Systems Examination,Preventive,monthly,3,3,"30,0",Minutes,"0,0",Minutes,"Inspector Junior, Inspector Senior",16.0,4/11/2024,8/11/2024,In service,Asset Description 4,Adequate,Rue Victor Hugo,100.0,1030.0,Brussels,Brussels,Customer 1,0,30,9,2024-11-04 13:50,2024-11-04 14:20
