Customer ID,Status,Customer Description,MD_Assets
1,Active,Customer 1,"1,2,3,4,5,11,12,13,14,15"
2,Active,Customer 2,"6,7,16,17"
3,Active,Customer 3,"8,18,69,95,141"
4,Active,Customer 4,"9,19,21,70,96,142"
5,Active,Customer 5,"10,20,22,23,24,71,97,143"
6,Active,Customer 6,25
7,Active,Customer 7,26
8,Active,Customer 8,27
9,Active,Customer 9,28
10,Active,Customer 10,"31,35,42,45"
11,,Customer 11,33
12,,Customer 12,34
13,,Customer 13,32
14,,Customer 14,"37,55"
15,,Customer 15,36
16,,Customer 16,30
17,,Customer 17,"38,39,29,43,56,79,106"
18,,Customer 18,40
19,,Customer 19,"44,46"
20,,Customer 20,"48,66,92"
21,,Customer 21,"41,49,67,93"
22,,Customer 22,50
23,,Customer 23,51
24,,Customer 24,52
25,,Customer 25,53
26,,Customer 26,54
27,,Customer 27,
28,,Customer 28,
29,,Customer 29,"47,57,65,80,91,107"
30,,Customer 30,58
31,,Customer 31,59
32,,Customer 32,60
33,,Customer 33,61
34,,Customer 34,62
35,,Customer 35,"63,89"
36,,Customer 36,"64,90"
37,,Customer 37,
38,,Customer 38,
39,,Customer 39,
40,,Customer 40,"68,94,140"
41,,Customer 41,
42,,Customer 42,
43,,Customer 43,
44,,Customer 44,"72,98,144"
45,,Customer 45,"73,99,145"
46,,Customer 46,"74,100"
47,,Customer 47,"75,101"
48,,Customer 48,"76,102"
49,,Customer 49,"77,103"
50,,Customer 50,"78,104"
51,,Customer 51,"116,128"
52,,Customer 52,"117,129"
53,,Customer 53,"118,130"
54,,Customer 54,"119,131"
55,,Customer 55,"81,85,108,112,120,132"
56,,Customer 56,"82,86,109,113,121,133,146"
57,,Customer 57,"83,87,110,114,122,134"
58,,Customer 58,"84,88,111,115,123,135"
59,,Customer 59,"124,136"
60,,Customer 60,"125,137"
61,,Customer 61,"126,138"
62,,Customer 62,"127,139"
