Work Order Operation Nr,Work Order ID,Work Order id (auto),Status,Operation id,Operation key,Operation Description,Duration,Duration unit,Predescesor Operation key,Required Skill,Required skill description,Order basic start date,Order basic end date,Operation scheduled start,Operation scheduled end,Confirmed work,Confirmed work unit,Asset Work center,Assigned technician(s),Technician First Name (from Assigned technician(s))
132,1,,To do,15,Preventive-monthly-1,Safety Systems Check,"30,0",Minutes,,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Brussels,,
133,1,,To do,16,Preventive-monthly-2,Structural and Mechanical Inspection,"30,0",Minutes,15,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Brussels,,
134,1,,To do,17,Preventive-monthly-3,Electrical and Control Systems Examination,"30,0",Minutes,16,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Brussels,,
135,1,,To do,18,Preventive-monthly-4,Performance and Load Testing,"50,0",Minutes,17,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Brussels,,
136,1,,To do,19,Preventive-monthly-5,Documentation and Compliance Verification,"10,0",Minutes,18,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Brussels,,
137,2,,To do,1,Corrective-Breakdown-1,Secure the Area,"15,0",Minutes,,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
138,2,,To do,2,Corrective-Breakdown-2,Preliminary Inspection,"20,0",Minutes,1,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
139,2,,To do,3,Corrective-Breakdown-3,Diagnostics and Troubleshooting,"1,0",Hours,2,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
140,2,,To do,4,Corrective-Breakdown-4,Component Repair or Replacement,"1,0",Hours,3,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
141,2,,To do,7,Corrective-Breakdown-7,Post-Repair Adjustments,"20,0",Minutes,6,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
142,2,,To do,5,Corrective-Breakdown-5,Control System Reset,"30,0",Minutes,4,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
143,2,,To do,6,Corrective-Breakdown-6,Detailed Testing and Validation,"45,0",Minutes,5,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
144,2,,To do,20,Corrective-Breakdown-8,System Cleanup and Safety Checks,"15,0",Minutes,7,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
145,2,,To do,22,Corrective-Breakdown-10,Restore Service,"15,0",Minutes,21,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
146,2,,To do,21,Corrective-Breakdown-9,Documentation and Reporting,"20,0",Minutes,20,"1,2,4","Electrician, Mecanician, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
147,3,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
148,3,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
149,3,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
150,3,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
151,3,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
152,3,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
153,3,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Brussels,,
333,4,,To do,15,Preventive-monthly-1,Safety Systems Check,"30,0",Minutes,,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Brussels,,
334,4,,To do,16,Preventive-monthly-2,Structural and Mechanical Inspection,"30,0",Minutes,15,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Brussels,,
335,4,,To do,17,Preventive-monthly-3,Electrical and Control Systems Examination,"30,0",Minutes,16,"3,4","Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Brussels,,
